product,district,order_date,sold_qty,month,year
Cavin’s Buttermilk,Chennai,2023-01-01,29,1,2023
Cavin’s Buttermilk,Coimbatore,2023-01-01,19,1,2023
Cavin’s Buttermilk,Dindigul,2023-01-01,21,1,2023
Cavin’s Buttermilk,Erode,2023-01-01,8,1,2023
Cavin’s Buttermilk,Kanchipuram,2023-01-01,20,1,2023
Cavin’s Buttermilk,Karur,2023-01-01,14,1,2023
Cavin’s Buttermilk,Madurai,2023-01-01,22,1,2023
Cavin’s Buttermilk,Nagapattinam,2023-01-01,21,1,2023
Cavin’s Buttermilk,Namakkal,2023-01-01,27,1,2023
Cavin’s Buttermilk,Salem,2023-01-01,20,1,2023
Cavin’s Buttermilk,Thanjavur,2023-01-01,27,1,2023
Cavin’s Buttermilk,Thoothukudi,2023-01-01,18,1,2023
Cavin’s Buttermilk,Tiruchirappalli,2023-01-01,10,1,2023
Cavin’s Buttermilk,Tirunelveli,2023-01-01,20,1,2023
Cavin’s Buttermilk,Vellore,2023-01-01,17,1,2023
Cavin’s Curd,Chennai,2023-01-01,22,1,2023
Cavin’s Curd,Coimbatore,2023-01-01,17,1,2023
Cavin’s Curd,Dindigul,2023-01-01,7,1,2023
Cavin’s Curd,Erode,2023-01-01,21,1,2023
Cavin’s Curd,Kanchipuram,2023-01-01,18,1,2023
Cavin’s Curd,Karur,2023-01-01,28,1,2023
Cavin’s Curd,Madurai,2023-01-01,31,1,2023
Cavin’s Curd,Nagapattinam,2023-01-01,29,1,2023
Cavin’s Curd,Namakkal,2023-01-01,18,1,2023
Cavin’s Curd,Salem,2023-01-01,20,1,2023
Cavin’s Curd,Thanjavur,2023-01-01,29,1,2023
Cavin’s Curd,Thoothukudi,2023-01-01,15,1,2023
Cavin’s Curd,Tiruchirappalli,2023-01-01,23,1,2023
Cavin’s Curd,Tirunelveli,2023-01-01,18,1,2023
Cavin’s Curd,Vellore,2023-01-01,19,1,2023
Cavin’s Ghee,Chennai,2023-01-01,22,1,2023
Cavin’s Ghee,Coimbatore,2023-01-01,7,1,2023
Cavin’s Ghee,Dindigul,2023-01-01,22,1,2023
Cavin’s Ghee,Erode,2023-01-01,27,1,2023
Cavin’s Ghee,Kanchipuram,2023-01-01,30,1,2023
Cavin’s Ghee,Karur,2023-01-01,26,1,2023
Cavin’s Ghee,Madurai,2023-01-01,30,1,2023
Cavin’s Ghee,Nagapattinam,2023-01-01,18,1,2023
Cavin’s Ghee,Namakkal,2023-01-01,29,1,2023
Cavin’s Ghee,Salem,2023-01-01,25,1,2023
Cavin’s Ghee,Thanjavur,2023-01-01,20,1,2023
Cavin’s Ghee,Thoothukudi,2023-01-01,31,1,2023
Cavin’s Ghee,Tiruchirappalli,2023-01-01,22,1,2023
Cavin’s Ghee,Tirunelveli,2023-01-01,21,1,2023
Cavin’s Ghee,Vellore,2023-01-01,13,1,2023
Cavin’s Lassi,Chennai,2023-01-01,22,1,2023
Cavin’s Lassi,Coimbatore,2023-01-01,7,1,2023
Cavin’s Lassi,Dindigul,2023-01-01,18,1,2023
Cavin’s Lassi,Erode,2023-01-01,16,1,2023
Cavin’s Lassi,Kanchipuram,2023-01-01,19,1,2023
Cavin’s Lassi,Karur,2023-01-01,13,1,2023
Cavin’s Lassi,Madurai,2023-01-01,27,1,2023
Cavin’s Lassi,Nagapattinam,2023-01-01,28,1,2023
Cavin’s Lassi,Namakkal,2023-01-01,19,1,2023
Cavin’s Lassi,Salem,2023-01-01,9,1,2023
Cavin’s Lassi,Thanjavur,2023-01-01,5,1,2023
Cavin’s Lassi,Thoothukudi,2023-01-01,13,1,2023
Cavin’s Lassi,Tiruchirappalli,2023-01-01,24,1,2023
Cavin’s Lassi,Tirunelveli,2023-01-01,28,1,2023
Cavin’s Lassi,Vellore,2023-01-01,11,1,2023
Cavin’s Milk – Full Cream,Chennai,2023-01-01,17,1,2023
Cavin’s Milk – Full Cream,Coimbatore,2023-01-01,34,1,2023
Cavin’s Milk – Full Cream,Dindigul,2023-01-01,23,1,2023
Cavin’s Milk – Full Cream,Erode,2023-01-01,29,1,2023
Cavin’s Milk – Full Cream,Kanchipuram,2023-01-01,22,1,2023
Cavin’s Milk – Full Cream,Karur,2023-01-01,8,1,2023
Cavin’s Milk – Full Cream,Madurai,2023-01-01,26,1,2023
Cavin’s Milk – Full Cream,Nagapattinam,2023-01-01,35,1,2023
Cavin’s Milk – Full Cream,Namakkal,2023-01-01,11,1,2023
Cavin’s Milk – Full Cream,Salem,2023-01-01,33,1,2023
Cavin’s Milk – Full Cream,Thanjavur,2023-01-01,28,1,2023
Cavin’s Milk – Full Cream,Thoothukudi,2023-01-01,27,1,2023
Cavin’s Milk – Full Cream,Tiruchirappalli,2023-01-01,10,1,2023
Cavin’s Milk – Full Cream,Tirunelveli,2023-01-01,22,1,2023
Cavin’s Milk – Full Cream,Vellore,2023-01-01,19,1,2023
Cavin’s Milk – Toned,Chennai,2023-01-01,18,1,2023
Cavin’s Milk – Toned,Coimbatore,2023-01-01,22,1,2023
Cavin’s Milk – Toned,Dindigul,2023-01-01,21,1,2023
Cavin’s Milk – Toned,Erode,2023-01-01,16,1,2023
Cavin’s Milk – Toned,Kanchipuram,2023-01-01,20,1,2023
Cavin’s Milk – Toned,Karur,2023-01-01,24,1,2023
Cavin’s Milk – Toned,Madurai,2023-01-01,19,1,2023
Cavin’s Milk – Toned,Nagapattinam,2023-01-01,28,1,2023
Cavin’s Milk – Toned,Namakkal,2023-01-01,24,1,2023
Cavin’s Milk – Toned,Salem,2023-01-01,32,1,2023
Cavin’s Milk – Toned,Thanjavur,2023-01-01,24,1,2023
Cavin’s Milk – Toned,Thoothukudi,2023-01-01,21,1,2023
Cavin’s Milk – Toned,Tiruchirappalli,2023-01-01,31,1,2023
