product,district,sold_qty
Cavin’s Buttermilk,Karur,33952
Cavin’s Lassi,Karur,33607
Cavin’s Lassi,Coimbatore,33445
Cavin’s Buttermilk,Salem,33410
Cavin’s Buttermilk,Kanchipuram,33401
Cavin’s Curd,Chennai,33345
Cavin’s Buttermilk,Thoothukudi,33320
Cavin’s Curd,Dindigul,33311
Cavin’s Curd,Kanchipuram,33288
Cavin’s Lassi,Vellore,33277
Cavin’s Curd,Thanjavur,33276
Cavin’s Curd,Karur,33262
Cavin’s Buttermilk,Chennai,33230
Cavin’s Buttermilk,Namakkal,33177
Cavin’s Buttermilk,Madurai,33164
Cavin’s Curd,Tiruchirappalli,33159
Cavin’s Buttermilk,Thanjavur,33136
Cavin’s Curd,Nagapattinam,33130
Cavin’s Lassi,Madurai,33122
Cavin’s Buttermilk,Tirunelveli,33113
Cavin’s Lassi,Chennai,33094
Cavin’s Lassi,Erode,33069
Cavin’s Buttermilk,Erode,33037
Cavin’s Buttermilk,Tiruchirappalli,33028
Cavin’s Curd,Tirunelveli,33026
Cavin’s Buttermilk,Coimbatore,33012
Cavin’s Lassi,Kanchipuram,33009
Cavin’s Lassi,Nagapattinam,32980
Cavin’s Curd,Salem,32979
Cavin’s Curd,Madurai,32975
Cavin’s Lassi,Thoothukudi,32964
Cavin’s Buttermilk,Dindigul,32936
Cavin’s Lassi,Tirunelveli,32851
Cavin’s Curd,Namakkal,32846
Cavin’s Buttermilk,Vellore,32818
Cavin’s Lassi,Namakkal,32795
Cavin’s Curd,Erode,32792
Cavin’s Lassi,Dindigul,32774
Cavin’s Lassi,Tiruchirappalli,32755
Cavin’s Lassi,Salem,32748
Cavin’s Curd,Vellore,32738
Cavin’s Curd,Thoothukudi,32737
Cavin’s Curd,Coimbatore,32730
Cavin’s Lassi,Thanjavur,32659
Cavin’s Buttermilk,Nagapattinam,32563
Karthika Seeyakkai Powder,Tirunelveli,29001
Karthika Seeyakkai Powder,Namakkal,28690
Karthika Seeyakkai Powder,Karur,28450
Karthika Seeyakkai Powder,Erode,28390
Karthika Seeyakkai Powder,Dindigul,28388
Karthika Seeyakkai Powder,Vellore,28279
Karthika Seeyakkai Powder,Salem,28163
Karthika Seeyakkai Powder,Thoothukudi,28140
Karthika Seeyakkai Powder,Kanchipuram,28125
Karthika Seeyakkai Powder,Tiruchirappalli,28104
Karthika Seeyakkai Powder,Nagapattinam,28042
Karthika Seeyakkai Powder,Coimbatore,28007
Karthika Seeyakkai Powder,Chennai,28005
Karthika Seeyakkai Powder,Madurai,27839
Karthika Seeyakkai Powder,Thanjavur,27830
Cavin’s Milkshake – Chocolate,Erode,27036
Cavin’s Milkshake – Chocolate,Dindigul,26851
Cavin’s Milkshake – Chocolate,Salem,26761
